METRIC,BASE_VALUE,METRIC_PATH,ERROR_THRESHOLD,WARNING_THRESHOLD,METRIC_HEADER
gddMajorGC,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Application%20Infrastructure%20Performance%7CTERMINAL%7CIndividual%20Nodes%7C0186.DriverDispatch1%7CJVM%7CGarbage%20Collection%7CNumber%20of%20Major%20Collections%20Per%20Min,50,100,header
gddMinorGC,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Application%20Infrastructure%20Performance%7CTERMINAL%7CIndividual%20Nodes%7C0186.DriverDispatch1%7CJVM%7CGarbage%20Collection%7CNumber%20of%20Minor%20Collections%20Per%20Min,50,100,header
gddGCTime,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Application%20Infrastructure%20Performance%7CTERMINAL%7CIndividual%20Nodes%7C0186.DriverDispatch1%7CJVM%7CGarbage%20Collection%7CGC%20Time%20Spent%20Per%20Min%20%28ms%29,50,100,header
gddGCTimePerc,Derived_GC,gddGCTime,50,100,header

serverTransCalls,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Overall%20Application%20Performance%7CSERVER%7CIndividual%20Nodes%7C0186.str00186%7CCalls%20per%20Minute,50,100,header
serverTransErrors,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Overall%20Application%20Performance%7CSERVER%7CIndividual%20Nodes%7C0186.str00186%7CErrors%20per%20Minute,50,100,header
serverTransErrorPerc,Derived_Error2,serverTransCalls:serverTransErrors,50,100,header
databaseCalls,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Backends%7CDiscovered%20backend%20call%20-%20PROFIT-PostgreSQL-LOCALHOST-9.2.18%7CCalls%20per%20Minute,50,100,header
databaseResponseTime,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Backends%7CDiscovered%20backend%20call%20-%20PROFIT-PostgreSQL-LOCALHOST-9.2.18%7CAverage%20Response%20Time%20%28ms%29,50,100,header

commonResponseTime,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CCommon%7CAverage%20Response%20Time%20%28ms%29,50,100,header
commonCalls,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CCommon%7CCalls%20per%20Minute,50,100,header
commonErrors,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CCommon%7CErrors%20per%20Minute,50,100,header
commonErrorPerc,Derived_Error2,commonCalls:commonErrors,50,100,header
corpServicesResponseTime,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7C%2FCorporateServicesEndPoint%7CAverage%20Response%20Time%20%28ms%29,50,100,header
corpServicesCalls,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7C%2FCorporateServicesEndPoint%7CCalls%20per%20Minute,50,100,header
corpServicesErrors,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7C%2FCorporateServicesEndPoint%7CErrors%20per%20Minute,50,100,header
corpServicesErrorPerc,Derived_Error2,corpServicesCalls:corpServicesErrors,50,100,header
makelineResponseTime,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CMakeline%7CAverage%20Response%20Time%20%28ms%29,50,100,header
makelineCalls,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CMakeline%7CCalls%20per%20Minute,50,100,header
makelineErrors,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CMakeline%7CErrors%20per%20Minute,50,100,header
makelineErrorPerc,Derived_Error2,makelineCalls:makelineErrors,50,100,header
mappingResponseTime,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CMapping%7CAverage%20Response%20Time%20%28ms%29,50,100,header
mappingCalls,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CMapping%7CCalls%20per%20Minute,50,100,header
mappingErrors,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CMapping%7CErrors%20per%20Minute,50,100,header
mappingErrorPerc,Derived_Error2,mappingCalls:mappingErrors,50,100,header
