METRIC,BASE_VALUE,METRIC_TYPE,METRIC_APP,METRIC_PATH,VERYLOW_THRESHOLD,LOW_THRESHOLD,HIGH_THRESHOLD,VERYHIGH_THRESHOLD
databaseCalls,79751,SINGLE,FOCUS,Backends%7CDiscovered%20backend%20call%20-%20PROFIT-PostgreSQL-LOCALHOST-9.2.18%7CCalls%20per%20Minute,-16000,-15000,15000,16000
databaseResponseTime,0,SINGLE,FOCUS,Backends%7CDiscovered%20backend%20call%20-%20PROFIT-PostgreSQL-LOCALHOST-9.2.18%7CAverage%20Response%20Time%20%28ms%29,-2,-1,1,2

commonResponseTime,3,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CCommon%7CAverage%20Response%20Time%20%28ms%29,-4,-2,2,4
commonCalls,101,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CCommon%7CCalls%20per%20Minute,-25,-10,10,25
commonErrors,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CCommon%7CErrors%20per%20Minute,-2,-1,1,2
commonErrorPerc,Derived_Error,SINGLE,N/A,commonCalls:commonErrors,-0.02,-0.01,0.01,0.02
corpServicesResponseTime,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7C%2FCorporateServicesEndPoint%7CAverage%20Response%20Time%20%28ms%29,-13,-10,10,13
corpServicesCalls,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7C%2FCorporateServicesEndPoint%7CCalls%20per%20Minute,-4,-2,2,4
corpServicesErrors,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7C%2FCorporateServicesEndPoint%7CErrors%20per%20Minute,-2,-1,1,2
corpServicesErrorPerc,Derived_Error,SINGLE,N/A,corpServicesCalls:corpServicesErrors,-0.02,-0.01,0.01,0.02
curbsideResponseTime,457,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CCurbsideService%7CAverage%20Response%20Time%20%28ms%29,-700,-600,600,700
curbsideCalls,1,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CCurbsideService%7CCalls%20per%20Minute,-2,-1,1,2
curbsideErrors,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CCurbsideService%7CErrors%20per%20Minute,-2,-1,1,2
curbsideErrorPerc,Derived_Error,SINGLE,N/A,curbsideCalls:curbsideErrors,-0.02,-0.01,0.01,0.02
dragontailResponseTime,457,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CDragontail%7CAverage%20Response%20Time%20%28ms%29,-700,-600,600,700
dragontailCalls,1,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CDragontail%7CCalls%20per%20Minute,-2,-1,1,2
dragontailErrors,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CDragontail%7CErrors%20per%20Minute,-2,-1,1,2
